label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
baso,261,79,98,91,lisc_baso_1.jpg,720,576
baso,347,289,94,96,lisc_baso_10.jpg,720,576
baso,249,264,85,94,lisc_baso_100.jpg,720,576
baso,418,171,78,75,lisc_baso_101.jpg,720,576
baso,386,220,81,91,lisc_baso_102.jpg,720,576
baso,295,181,86,82,lisc_baso_103.jpg,720,576
baso,334,313,93,82,lisc_baso_104.jpg,720,576
baso,226,397,76,78,lisc_baso_105.jpg,720,576
baso,420,97,72,85,lisc_baso_106.jpg,720,576
baso,170,152,85,76,lisc_baso_107.jpg,720,576
baso,467,346,78,74,lisc_baso_108.jpg,720,576
baso,321,295,101,99,lisc_baso_109.jpg,720,576
baso,280,190,91,93,lisc_baso_11.jpg,720,576
baso,135,352,86,91,lisc_baso_110.jpg,720,576
baso,493,120,92,107,lisc_baso_111.jpg,720,576
baso,583,269,79,87,lisc_baso_112.jpg,720,576
baso,247,149,68,82,lisc_baso_113.jpg,720,576
baso,196,62,103,91,lisc_baso_114.jpg,720,576
baso,421,423,100,90,lisc_baso_115.jpg,720,576
baso,316,218,106,96,lisc_baso_116.jpg,720,576
baso,299,262,98,94,lisc_baso_117.jpg,720,576
baso,330,250,100,103,lisc_baso_118.jpg,720,576
baso,295,228,87,98,lisc_baso_119.jpg,720,576
baso,183,272,87,91,lisc_baso_12.jpg,720,576
baso,488,315,81,79,lisc_baso_120.jpg,720,576
baso,147,180,84,78,lisc_baso_121.jpg,720,576
baso,252,420,82,74,lisc_baso_122.jpg,720,576
baso,383,75,86,81,lisc_baso_123.jpg,720,576
baso,400,344,75,81,lisc_baso_124.jpg,720,576
baso,295,178,103,101,lisc_baso_125.jpg,720,576
baso,254,245,99,104,lisc_baso_126.jpg,720,576
baso,369,225,98,105,lisc_baso_127.jpg,720,576
baso,251,107,78,76,lisc_baso_128.jpg,720,576
baso,392,390,70,78,lisc_baso_129.jpg,720,576
baso,64,187,101,91,lisc_baso_13.jpg,720,576
